Round 0 Worms: [ petro_qojo-9 (-1, 0), ], Food:  (-4, 8) 
Round 1 Worms: [ petro_qojo-8 (-2, 0), ], Food:  (-4, 8)  (-11, -2) 
Round 2 Worms: [ petro_qojo-7 (-3, 0), ], Food:  (-4, 8)  (-11, -2)  (5, 4) 
Round 3 Worms: [ petro_qojo-6 (-4, 0), ], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10) 
Round 4 Worms: [ petro_qojo-5 (-3, 0), ], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10)  (-1, -3) 
Round 5 Worms: [ petro_qojo-4 (-2, 0), ], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10)  (-1, -3)  (2, -1) 
Round 6 Worms: [ petro_qojo-3 (-1, 0), ], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10)  (-1, -3)  (2, -1)  (1, 9) 
Round 7 Worms: [ petro_qojo-2 (-1, -1), ], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10)  (-1, -3)  (2, -1)  (1, 9)  (-5, -6) 
Round 8 Worms: [ petro_qojo-1 (-1, -2), ], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10)  (-1, -3)  (2, -1)  (1, 9)  (-5, -6)  (3, -7) 
Round 9 Worms: [], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10)  (-1, -3)  (2, -1)  (1, 9)  (-5, -6)  (3, -7)  (1, -3) 
Round 10 Worms: [], Food:  (-11, -2)  (5, 4)  (2, 10)  (-1, -3)  (2, -1)  (1, 9)  (-5, -6)  (3, -7)  (1, -3)  (-3, 8) 
Round 11 Worms: [], Food:  (5, 4)  (2, 10)  (-1, -3)  (2, -1)  (1, 9)  (-5, -6)  (3, -7)  (1, -3)  (-3, 8)  (5, 5) 
Round 12 Worms: [], Food:  (2, 10)  (-1, -3)  (2, -1)  (1, 9)  (-5, -6)  (3, -7)  (1, -3)  (-3, 8)  (5, 5)  (2, -4) 
Round 13 Worms: [], Food:  (-1, -3)  (2, -1)  (1, 9)  (-5, -6)  (3, -7)  (1, -3)  (-3, 8)  (5, 5)  (2, -4)  (-8, -3) 
Round 14 Worms: [], Food:  (2, -1)  (1, 9)  (-5, -6)  (3, -7)  (1, -3)  (-3, 8)  (5, 5)  (2, -4)  (-8, -3)  (7, -5) 
Round 15 Worms: [], Food:  (1, 9)  (-5, -6)  (3, -7)  (1, -3)  (-3, 8)  (5, 5)  (2, -4)  (-8, -3)  (7, -5)  (-3, -2) 
Round 16 Worms: [], Food:  (-5, -6)  (3, -7)  (1, -3)  (-3, 8)  (5, 5)  (2, -4)  (-8, -3)  (7, -5)  (-3, -2)  (-1, -3) 
Round 17 Worms: [], Food:  (3, -7)  (1, -3)  (-3, 8)  (5, 5)  (2, -4)  (-8, -3)  (7, -5)  (-3, -2)  (-1, -3)  (2, -2) 
Round 18 Worms: [], Food:  (1, -3)  (-3, 8)  (5, 5)  (2, -4)  (-8, -3)  (7, -5)  (-3, -2)  (-1, -3)  (2, -2)  (-6, -5) 
Round 19 Worms: [], Food:  (-3, 8)  (5, 5)  (2, -4)  (-8, -3)  (7, -5)  (-3, -2)  (-1, -3)  (2, -2)  (-6, -5)  (10, 0) 
Round 20 Worms: [], Food:  (5, 5)  (2, -4)  (-8, -3)  (7, -5)  (-3, -2)  (-1, -3)  (2, -2)  (-6, -5)  (10, 0)  (-10, -2) 
